qcID,batchID,cuppingScore,tastingNotes,defectNotes
QC0018,RB0018,87.33,"Sweet, delicate, floral and wood-toned. Fresh-cut fir, demerara sugar, orange zest, faint rose-like flowers in aroma and cup. Gently bittersweet structure; very lightly syrupy mouthfeel. Flavor consolidates but persists in a round, sweet-toned finis…",cat1=0; cat2=2; quakers=0
QC0019,RB0019,87.25,"Crisply sweet, multi-faceted. Candied violet, dark chocolate, pungent juniper wood, grapefruit zest, mango in aroma and cup. Sweetly tart structure with juicy acidity; satiny mouthfeel. The resonant finish centers around mango and violet in the shor…",cat1=0; cat2=0; quakers=0
QC0020,RB0020,87.25,"Spectacularly sweet and hugely aromatic. Meyer lemon marmalade, cedar, pistachio, guava, jasmine in aroma and cup. Crisply sweet/tart and massively juicy in structure; plush, buoyant mouthfeel. The juicy structure and complex aromatics persist in a…",cat1=0; cat2=8; quakers=0
QC0021,RB0021,87.25,"Crisply sweet-savory. Lavender, roasted cacao nib, strawberry guava, hazelnut, toasted barley in aroma and cup. Sweetly floral structure with savory undertones; crisp, velvety mouthfeel. The cocoa-toned finish leads with spicy florals and tropical f…",cat1=0; cat2=0; quakers=0
QC0022,RB0022,87.17,"Sweetly pungent, gently roasty. Scorched cedar, dark chocolate, plum, lavender, lime zest in aroma and cup. Complex in structure: sweetly tart with a roasty, savory depth. Light, satiny mouthfeel. Lemon zest, dark chocolate, plum carry into a rich t…",cat1=0; cat2=2; quakers=0
QC0023,RB0023,87.17,"Elegant, deep, sweetly savory. Jasmine, sandalwood, plum, nutella-like nut and cocoa, tangerine zest in aroma and cup. High-toned, balanced structure with citrusy acidity; syrupy-smooth mouthfeel. The finish is long, resonant and flavor-saturated, c…",cat1=0; cat2=0; quakers=0
QC0024,RB0024,87.08,"Evaluated as espresso. Balanced, deeply and sweetly pungent. Honeysuckle, cashew, baker’s chocolate, cedar, caramel in aroma and small cup. Satiny mouthfeel; crisp, resonant finish that leads with baker’s chocolate in the short, rounding to nut-tone…",cat1=0; cat2=0; quakers=0
QC0025,RB0025,87.08,"Evaluated as espresso. Floral-toned, lively. Black currant, narcissus, sandalwood, roasted cacao nib, molasses in aroma and small cup. Syrupy, buoyant mouthfeel; gently drying, flavor-saturated finish centered around notes of black currant and narci…",cat1=0; cat2=1; quakers=0
QC0026,RB0026,86.92,"Bright, richly sweet, complex. Red currant, lilac, dark chocolate, lime zest, redwood in aroma and cup. Sweetly savory in structure, with juicy acidity; plush, syrupy mouthfeel. The balanced finish is resonant with notes of red currant and dark choc…",cat1=0; cat2=2; quakers=0
QC0027,RB0027,86.92,"Delicately sweet and balanced with a subtle hint of fermented fruit. Peach, sweet chocolate, sandalwood, honeysuckle, almond in aroma and cup. Gently and sweetly bright in structure; light yet satiny in mouthfeel. Quiet but resonantly long finish: p…",cat1=0; cat2=2; quakers=0
QC0028,RB0028,86.83,"Sweetly pungent, lightly savory. Unusual aromatics: floral-toned honey, plum, musk, a hint of coriander in aroma and cup. Crisply sweet, savory-edged structure; lightly syrupy mouthfeel. Dry and gently flavor-saturated in the finish.",cat1=0; cat2=1; quakers=0
QC0029,RB0029,86.67,"Brisk and subtly layered. Almond butter, dried apricot, fresh-cut fir, hints of dark chocolate and clover in aroma and cup. Sweetly brisk and dry in structure; lightly syrupy mouthfeel. The drying structure sweetens and smoothes a bit in the finish,…",cat1=0; cat2=3; quakers=0
QC0030,RB0030,86.58,"Deeply and pungently sweet-tart. Lavender, grapefruit zest, sandalwood, blackberry, a hint of baker’s chocolate in aroma and cup. Simultaneously brightly tart and deeply savory in structure. Lightly syrupy, plush mouthfeel. Grapefruit zest and black…",cat1=0; cat2=0; quakers=0
QC0031,RB0031,86.58,"Sweet, spice-toned, pungent. Hazelnut, cocoa, ripe cantaloupe, tangerine zest, a hint of cinnamon in aroma and cup. Complexly structured: very sweet, gently tart, slightly bitterish. Syrupy and full in mouthfeel. Cocoa and tangerine carry into a dee…",cat1=0; cat2=2; quakers=0
QC0032,RB0032,86.5,"Delicate, sweetly tart. Strawberry, caramel, musk, cocoa butter, magnolia in aroma and cup. Quietly tart-leaning structure with sweet undertones; plush, syrupy body. The perfumy, almost musk-like finish is characterized by tart fruit notes in the sh…",cat1=0; cat2=1; quakers=0
QC0033,RB0033,86.42,"Deeply and richly sweet-savory. Orange marmalade, pipe tobacco, dried fig, dark chocolate, freesia-like flowers in aroma and cup. Bright, sweetly-tart in structure with zesty acidity; delicately satiny mouthfeel. Notes of richly savory pipe tobacco…",cat1=0; cat2=2; quakers=0
QC0034,RB0034,86.33,"Deeply sweet, fruit- and cocoa-toned. Baker’s chocolate, dried coconut, tea rose, almond, cedar in aroma and cup. Fruit-toned structure with round, gentle acidity; crisp though syrupy mouthfeel. The spice-toned finish suggests homemade fruitcake, wi…",cat1=0; cat2=0; quakers=0
QC0035,RB0035,86.25,"Deeply sweet, chocolate-toned. Dark chocolate, Brazil nut, gardenia, baked apple, cedar in aroma and cup. Roundly sweet in structure; lean, lightly syrupy body. The gently drying finish is characterized by notes of dark chocolate throughout, support…",cat1=0; cat2=3; quakers=0
QC0036,RB0036,86.25,"Richly sweet, fruit-toned. Dried strawberry, dark chocolate, freesia-like flowers, tangerine zest, a hint of aged rum in aroma and cup. Sweetly round in structure; syrupy mouthfeel. The finish is crisply and richly drying with lingering hints of age…",cat1=0; cat2=1; quakers=0
QC0037,RB0037,86.25,"Richly sweet, spice-toned. Baker’s chocolate, tangerine zest, clove, date, sandalwood in aroma and cup. High-toned, sweetly tart in structure; plush and syrupy in mouthfeel. The finish centers around cocoa-toned clove notes and deeply sweet fruit in…",cat1=1; cat2=4; quakers=0
QC0038,RB0038,86.25,"Deeply sweet-savory, uniquely pungent. Ripe tomato, pink peppercorn, lantana-like flowers, blood orange zest, fresh pipe tobacco in aroma and cup. Savory-leaning, richly sweet in structure; plush and syrupy in mouthfeel. The finish is equal parts sw…",cat1=2; cat2=1; quakers=0
QC0039,RB0039,86.25,"Crisply sweet-tart, high-toned. Lemon verbena, cedar, pomegranate, lavender, maple syrup in aroma and cup. Sweetly tart in structure with bright, juicy acidity. The finish is deep and rich, with sweet, lemony herb tones, tart fruit notes, and hints…",cat1=0; cat2=2; quakers=0
QC0040,RB0040,86.17,"Intensely sweet, intricately rich. Pink grapefruit zest, blackberry, fresh pipe tobacco, lavender, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; crisp, satiny, buoyant mouthfeel. The resonant finish leads with notes of berry…",cat1=0; cat2=0; quakers=0
QC0041,RB0041,86.17,"Crisp, sweet-savory. Mulberry, pink peppercorn, maple syrup, gardenia, cedar in aroma and cup. Crisply sweet-savory in structure; viscous, velvety mouthfeel. The rich though drying finish centers around spicy florals and berry tones in the short and…",cat1=1; cat2=9; quakers=0
QC0042,RB0042,86.17,"Sweetly pungent, richly savory-toned. Blackberry jam, roasted cacao nib, rhododendron, sundried tomato, nougat in aroma and cup. Sweet-savory structure with crisp, floral acidity; viscous, lightly syrupy mouthfeel. The finish is sweet-toned and bala…",cat1=0; cat2=2; quakers=0
QC0043,RB0043,86.17,"Bright, crisp, deeply sweet. Honey, lilac, cedar, tea rose, mango in aroma and cup. Crisply sweet-tart structure; satiny-smooth body. Notes of mango and spice-toned florals carry the short finish, while honey lingers in the long.",cat1=0; cat2=3; quakers=0
QC0044,RB0044,86.08,"Crisp, sweetly tart. Dark chocolate, pie cherry, cedar, honey, magnolia in aroma and cup. Bittersweet in structure with crisp, citrus-like acidity; velvety mouthfeel. The finish consolidates to honey-toned stonefruit in the short and dark chocolate…",cat1=0; cat2=0; quakers=0
QC0045,RB0045,86.08,"Complex, uniquely sweet, tropical. Plumeria, roasted cacao nib, mango, sandalwood, nougat in aroma and cup. Sweetly tart structure with bright, juicy acidity; syrupy mouthfeel. The finish carries through on the promise of the cup, with rich florals…",cat1=0; cat2=2; quakers=0
QC0046,RB0046,86.08,"High-toned, richly sweet. Strawberry guava, roasted cacao nib, lime zest, jasmine, almond in aroma and cup. Sweetly-tart structure with juicy, balanced acidity; plush, syrupy mouthfeel. The finish is long and resonant, with lime zest and strawberry…",cat1=0; cat2=2; quakers=0
QC0047,RB0047,86.0,"Spice-toned, richly sweet. Raspberry, dark chocolate, hazelnut, gardenia, bergamot in aroma and cup. Sweet, fruit-forward structure; full, satiny mouthfeel. The resonant, flavor-saturated finish is characterized by notes of rich chocolate with berry…",cat1=0; cat2=0; quakers=0
QC0048,RB0048,86.0,"Sweetly bright, spicy and savory-edged. Orange zest, black currant, baker’s chocolate, tamarind, floral-toned vanilla, redwood in aroma and cup. Deeply bright and richly savory in structure; syrupy, lively mouthfeel. Very deep, very lasting finish,…",cat1=1; cat2=1; quakers=0
QC0049,RB0049,86.0,"Richly sweet/tart, crisply complex. Dark chocolate, roasted cashew, pink grapefruit, sandalwood, Chinese five-spice in aroma and cup. Structure is drying but sweetly juicy; buoyant and plump in mouthfeel. Nut-toned chocolate with a hint of sandalwoo…",cat1=0; cat2=1; quakers=0
QC0050,RB0050,86.0,"Sweet, deep, intense but balanced. Peach, maple syrup, sandalwood, grapefruit zest, almond, magnolia in aroma and cup. Round, resonantly and sweetly bright in structure. Silky and buoyant in mouthfeel. Deep, long, flavor-saturated finish.",cat1=0; cat2=0; quakers=0
QC0051,RB0051,86.0,"Crisply and sweetly tart, delicate yet confident. Peach, vanilla bean, grapefruit zest, almond, pink peppercorn in aroma and cup. Poised in structure: sweet, tart, savory. Mouthfeel is cushiony, plush. Flavor saturates a savory-edged, drying finish.",cat1=0; cat2=4; quakers=0
QC0052,RB0052,86.0,"Spice-toned, chocolaty. Chocolate-toned malt, date, hazelnut, fresh pipe tobacco, stick cinnamon in aroma and cup. Richly bittersweet in structure; velvety-smooth mouthfeel. The finish is richly chocolate-toned with a hint of cinnamon.",cat1=0; cat2=0; quakers=0
QC0053,RB0053,85.92,"Crisply sweet, intricate, delicately rich. Jasmine, tangerine zest, sandalwood, sweet ripe banana, roasted cacao nib in aroma and cup. Balanced, roundly and gracefully sweet/tart in structure. Light-footed and plush in mouthfeel. Flavor consolidates…",cat1=0; cat2=3; quakers=1
QC0054,RB0054,85.92,"Deeply sweet, delicately zesty, complexly fruit- and floral-toned. Peach, grapefruit zest, alyssum-like flowers, dark chocolate, cinnamon in aroma and cup. Sweetly tart in structure, with a deepening savory-bitter edge. Light, satiny mouthfeel; flav…",cat1=0; cat2=0; quakers=0
QC0055,RB0055,85.92,"Evaluated as espresso. Crisply sweet-tart. Frangipane, dark chocolate, cedar, tamarind, jasmine in aroma and small cup. Crisp, velvety mouthfeel; nut-toned, richly tannic finish. In cappuccino-scaled milk, invitingly bittersweet, with notes of dark…",cat1=1; cat2=0; quakers=0
QC0056,RB0056,85.83,"Sweetly tart, intense but balanced. Orange zest, red currant, tea rose, white sage, roasted cashew in aroma and cup. Brisk and savory-edged but sweet in structure; impressively buoyant, almost effervescent mouthfeel. Flavor fades to hints of sage an…",cat1=0; cat2=0; quakers=1
QC0057,RB0057,85.83,"Evaluated as espresso. Sweetly bright, tartly juicy. Grapefruit zest, mango, chocolate, fresh-cut fir in aroma and small cup. Very lightly syrupy and lively in mouthfeel. Rounds in the finish and the chocolate comes forward. In three parts milk a dr…",cat1=0; cat2=4; quakers=0
QC0058,RB0058,85.83,"Intensely rich, deeply sweet, complex. Chocolate fudge, lavender, grapefruit zest, moist perique-style tobacco, coconut-covered date in aroma and cup. Balanced, sweetly savory in structure with lively acidity; buoyant, syrupy mouthfeel. The flavor-l…",cat1=0; cat2=3; quakers=0
QC0059,RB0059,85.83,"Crisply sweet, high-toned. Maple syrup, narcissus, ripe orange, hazelnut, a hint of cardamom in aroma and cup. Gently sweet-tart structure; velvety mouthfeel. The short finish leads with attractive bittersweet orange tones; narcissus and cardamom ca…",cat1=0; cat2=1; quakers=0
QC0060,RB0060,85.75,"Richly sweet, crisply complex, spice-toned. Lilac, bergamot, white peach, caramelized walnut, sandalwood in aroma and cup. Delicate, sweetly tart, juicy in structure; crisp, satiny mouthfeel. The quietly resonant finish is flavor-saturated: stonefru…",cat1=0; cat2=7; quakers=4
QC0061,RB0061,85.75,"Delicate, crisply sweet. Dried coconut, baker’s chocolate, candied violet, cedar, nutmeg in aroma and cup. Balanced, sweet-tart structure; silky mouthfeel. The gently drying finish is carried by notes of chocolate-toned coconut in the short and ceda…",cat1=4; cat2=6; quakers=0
QC0062,RB0062,85.75,"Engaging, richly sweet-savory. Caramelized fig, earthy pipe tobacco, aged rum, hibiscus, cinnamon in aroma and cup. Sweetly tart structure; velvety-smooth mouthfeel. The long finish consolidates to cinnamon and caramelized fig, with a hint of aged r…",cat1=0; cat2=1; quakers=0
QC0063,RB0063,85.58,"Sweet-toned, fruit-forward. Raspberry, cedar, baker’s chocolate, gardenia, molasses in aroma and cup. Bittersweet structure; velvety mouthfeel. The crisp, gently drying finish leads with notes of chocolate-toned berries in the short, and spicy-sweet…",cat1=0; cat2=3; quakers=0
QC0064,RB0064,85.58,"Richly sweet, high-toned. Maple syrup, orange zest, roasted cacao nib, peach, cedar in aroma and cup. Sweet-tart structure; satiny mouthfeel. The resonant finish has a throughline of roasted cacao nib, accompanied by notes of peach and maple syrup i…",cat1=0; cat2=0; quakers=0
QC0065,RB0065,85.58,"Vibrant, richly sweet, clear-toned. Roasted cacao nib, ginger blossom, dried fig, sandalwood, sugar cane in aroma and cup. Lushly sweet-tart in structure with juicy acidity; crisp, velvety mouthfeel. The deep, resonant finish is flavor-laden, fulfil…",cat1=0; cat2=1; quakers=0
QC0066,RB0066,85.5,"Intense, dynamic, richly sweet-savory. Passionfruit jam, baker’s chocolate, aromatic orchid, sandalwood, almond in aroma and cup. Bright, sweetly tart in structure; full, velvety mouthfeel. The resonant finish is crisply sweet, with layers of comple…",cat1=2; cat2=2; quakers=0
QC0067,RB0067,85.5,"Evaluated as espresso. Deeply expressed dark chocolate, magnolia-like flowers, grapefruit zest, date, cedar in aroma and small cup. Lean, though very smooth mouthfeel; chocolate-toned finish with hints of cedar. The chocolate deepens in three parts…",cat1=0; cat2=3; quakers=0
QC0068,RB0068,85.5,"Delicate, sweetly spice-toned. Red currant, lemon verbena, baker’s chocolate, rose hips, a hint of cannabis in aroma and cup. Crisply sweet-savory structure; crisp, velvety mouthfeel. The finish is sweetly herb-toned, leading with notes of lemon ver…",cat1=0; cat2=7; quakers=0
QC0069,RB0069,85.5,"Evaluated as espresso. Bright, zesty-sweet. Baker’s chocolate, lemon zest, black cherry, fresh-cut fir, narcissus in aroma and small cup. Crisp, velvety mouthfeel; balanced, sweetly tart finish. In three-parts milk the coffee particularly impresses:…",cat1=0; cat2=1; quakers=0
QC0070,RB0070,85.5,"Sweetly savory, layered. Rhododendron-like flowers, cinnamon, baker’s chocolate, cedar, red currant in aroma and cup. Round, savory-leaning structure; crisp, velvety mouthfeel. The quiet finish centers on notes of vanilla-like florals and baker’s ch…",cat1=0; cat2=1; quakers=0
QC0071,RB0071,85.42,"Richly sweet, chocolate-toned. Molasses, baker’s chocolate, lily, cedar, black peppercorn in aroma and cup. Bittersweet structure with round, gentle acidity; velvety-smooth mouthfeel. The finish is thoroughly chocolate-toned, leading with baker’s ch…",cat1=0; cat2=18; quakers=0
QC0072,RB0072,85.42,"Evaluated as espresso. Delicate, crisply sweet-savory. Tamarind, baker’s chocolate, rhododendron, mulberry, oak in aroma and small cup. Confident, satiny-smooth mouthfeel; richly drying finish redolent of chocolate-toned aromatic oak. In three parts…",cat1=0; cat2=5; quakers=0
QC0073,RB0073,85.42,"Deeply sweet, richly savory. Dried apricot, roasted cacao nib, freesia, almond, tamarind in aroma and cup. Balanced, sweet-savory structure; syrupy-smooth mouthfeel. The finish leads with notes of dried stone fruit and spicy florals in the short, ro…",cat1=4; cat2=6; quakers=0
QC0074,RB0074,85.42,"Deeply sweet, intensely pungent. Dark chocolate, tangerine zest, star jasmine, maple syrup, frankincense in aroma and cup. Deeply sweet-toned in structure with lively, bright acidity; satiny mouthfeel. The finish is as elegant as the cup implies: fl…",cat1=0; cat2=1; quakers=0
QC0075,RB0075,85.42,"Richly savory, sweetly herb-toned. Baker’s chocolate, fennel, black cherry, cedar, wisteria-like flowers in aroma and cup. Round, deeply sweet in structure; syrupy mouthfeel. The cocoa-toned finish leads with black cherry in the short, which settles…",cat1=0; cat2=0; quakers=0
QC0076,RB0076,85.33,"Delicately sweet-tart, fruit-toned. Strawberry, aged rum, cocoa powder, pink peppercorn, celery seed in aroma and cup. Sweetly fermenty in structure; satiny-smooth in mouthfeel. A hint of aged rum carries the finish, accompanied by berry notes in th…",cat1=0; cat2=0; quakers=0
QC0077,RB0077,85.33,"Gently bittersweet, deeply floral-toned. Baker’s chocolate, aromatic orchid, hazelnut, oak in aroma and cup. Low-toned, crisply bittersweet in structure. Mouthfeel is light though silky. The finish consolidates to a rich, oaky chocolate.",cat1=0; cat2=1; quakers=0
QC0078,RB0078,85.33,"Resonantly fruit-forward, elegant, complex. Honey, dried raspberry, chocolate truffle, aged rum, a hint of marjoram in aroma and cup. Juicy, rich structure with bright, vibrant acidity; full, satiny mouthfeel. A suggestion of sweet marjoram complica…",cat1=0; cat2=0; quakers=0
QC0079,RB0079,85.33,"Crisply sweet, spice-toned. Dried papaya, caramel, tangerine zest, pink-peppercorn, vanilla in aroma and cup. High-toned, sweetly tart in structure with juicy, bright acidity; lean, though satiny-smooth mouthfeel. The resonant, richly drying finish…",cat1=0; cat2=2; quakers=0
QC0080,RB0080,85.33,"Resonantly bright, floral-toned. Jasmine, frankincense, cardamom, toffee, apricot in aroma and cup. Balanced, sweetly tart structure with juicy acidity; crisp, velvety mouthfeel. The deep, flavor-saturated finish leads with caramel-toned apricot in…",cat1=0; cat2=2; quakers=0
QC0081,RB0081,85.33,"Deeply rich, spicy sweet. Pear, cedar, vanilla, grapefruit zest, cumin in aroma and cup. Tartly bittersweet in structure; full, syrupy though drying mouthfeel. Resonant finish consolidates around pear and a floral-toned vanilla.",cat1=0; cat2=6; quakers=0
QC0082,RB0082,85.33,"Delicate, deeply sweet, complexly layered. Passionfruit, roasted cacao nib, frankincense, lilac, almond in aroma and cup. Balanced, sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. The richly cocoa-toned finish is redolent of tropic…",cat1=0; cat2=2; quakers=0
QC0083,RB0083,85.33,"Deep, intense, sweetly perfumy, savory-edged. Dark chocolate, vanilla, dried mango, sandalwood, a hint of dried mint in aroma and cup. Very sweet though also rather drying and tannic in structure; satiny mouthfeel. Resonant, flavor-saturated finish,…",cat1=0; cat2=3; quakers=0
QC0084,RB0084,85.25,"Rich, roundly sweet-tart. Peach, fresh-cut fir, baker’s chocolate, magnolia, brown sugar in aroma and cup. Bittersweet in structure; crisp, velvety mouthfeel. Baker’s chocolate and stone fruit carry the quietly resonant short finish, fresh-cut fir a…",cat1=0; cat2=2; quakers=2
QC0085,RB0085,85.25,"Evaluated as espresso. Intensely chocolaty, vivaciously fruit-toned. Dark chocolate, narcissus, pie cherry, molasses, sandalwood in aroma and small cup. Rich, syrupy mouthfeel. A resonant finish leads with cherry and narcissus notes in the short and…",cat1=0; cat2=0; quakers=0
QC0086,RB0086,85.25,"Evaluated as espresso. Richly and deeply pungent. Dark chocolate, cedar, orange zest, floral-toned vanilla, fresh pipe tobacco in aroma and small cup. Syrupy but lively mouthfeel; dark chocolate, cedar, orange carry into a resonant finish. The dark…",cat1=0; cat2=2; quakers=0
QC0087,RB0087,85.17,"Evaluated as espresso. Richly sweet-tart. Dark chocolate, narcissus, candied blood orange zest, almond butter, cedar in aroma and small cup. Full, syrupy body; citrus- and cedar-toned finish. In three parts milk, notes of dark chocolate pleasin",cat1=0; cat2=3; quakers=0
QC0088,RB0088,85.17,"Fruit-forward, delicate yet intense. Complex flowers (lily to lavendar), sandalwood, dark chocolate, plum, a hint of brandy in aroma and cup. Roundly and deeply crisp in structure; lightly satiny in mouthfeel. The finish is resonant and sweet with c…",cat1=0; cat2=7; quakers=0
QC0089,RB0089,85.08,"Delicate, sweetly tart. Roasted cacao nib, honeysuckle, tamarind, spearmint, plum in aroma and cup. Balanced structure with brisk acidity; crisp, satiny mouthfeel. Bittersweet in the short finish and sweetly wood-framed in the long.",cat1=0; cat2=8; quakers=1
QC0090,RB0090,85.08,"Evaluated as espresso. Sweet-savory, intense, balanced. Spicy-toned flowers, tangerine zest, red berries, cedar, dark chocolate, roasted cashew in aroma and small cup. Syrupy but buoyant mouthfeel. Flowers, chocolate and citrus all carry into a reso…",cat1=0; cat2=0; quakers=0
QC0091,RB0091,85.08,"Evaluated as espresso. Rich, deeply roast-toned. Dark-chocolate, ripe pear, scorched sandalwood, tangerine zest, honeysuckle-like flowers in aroma and small cup. Syrupy, plump mouthfeel; resonant finish is dry but alive with aromatics: dark chocolat…",cat1=2; cat2=7; quakers=0
QC0092,RB0092,85.08,"Delicate but richly intricate. Cocoa, almond paste, lemon verbena, hints of lily and grappa-like spirits in aroma and cup. Savory-sweet and brisk, though juicy in structure. Very lightly syrupy in mouthfeel. The finish is deeply savory-sweet and cri…",cat1=2; cat2=2; quakers=0
QC0093,RB0093,85.08,"Deeply and richly sweet; spice-toned. Lavender, mulberry, bay leaf, lemon zest, allspice in aroma and cup. Sweet-toned structure with vibrant acidity; buoyant, silky mouthfeel. The long, resonant finish is laden with spice-toned floral notes and bri…",cat1=0; cat2=8; quakers=0
QC0094,RB0094,85.08,"Richly sweet, floral-toned. Wisteria, roasted cacao nib, almond, caramel, hint of musk in aroma and cup. Balanced, sweetly tart structure with juicy acidity; crisply velvety mouthfeel. The finish consolidates to a pretty cocoa-toned musk in the shor…",cat1=1; cat2=7; quakers=0
QC0095,RB0095,85.08,"Integrated, floral- and sweetly earth-toned. Lavender, perique pipe tobacco, tangerine zest, apricot, roasted cacao nib in aroma and cup. Sweet-savory in structure; syrupy-smooth body. The short finish is resonant with spicy floral and stone fruit n…",cat1=0; cat2=5; quakers=0
QC0096,RB0096,85.08,"Intricate, layered, deeply sweet. Blackberry, nougat, roasted cacao nib, frankincense, tangerine zest in aroma and cup. Crisply sweet-tart structure; full, satiny mouthfeel. Notes of blackberry enveloped in cocoa frame the quiet short finish, roundi…",cat1=0; cat2=0; quakers=0
QC0097,RB0097,85.0,"Floral-toned, crisp, deeply sweet. Dried strawberry, freesia, toffee, hazelnut butter, fresh-cut cedar in aroma and cup. Sweet-toned structure; syrupy, almost creamy body. Notes of freesia-like flowers and hazelnut butter dominate in the short finis…",cat1=0; cat2=1; quakers=0
QC0098,RB0098,85.0,"Deeply and richly sweet, complex, layered. Apricot, dark chocolate, nut-toned toffee, sandalwood, fresh humus (forest floor).Sweet-savory structure with lively, juicy acidity; velvety-smooth mouthfeel. The flavor-saturated finish is resonant with no…",cat1=0; cat2=3; quakers=0
