batchID,lotID,profileID,roastDate,quantityProducedKg,notes
RB0027,BL0059,RP182,2025-05-09,61.1,"Produced by Juan Luis Barrios Ortega from trees of the Bourbon-derived Pache variety of Arabica. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than af…"
RB0028,BL0131,RP106,2025-04-26,71.5,"Produced from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica and processed by the wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are…"
RB0029,BL0004,RP147,2025-06-06,93.8,"Processed by the wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Espresso Republic, founded in 2010, specializes in sourcing quality c…"
RB0030,BL0025,RP082,2024-08-20,40.8,"Produced by the smallholders of the New Ngariama Farmers Cooperative Society from trees of the SL-28, SL-34 and Ruiru 11 varieties of Arabica. Processed at Kamwangi Washing Station by the particularl…"
RB0031,BL0107,RP184,2024-07-05,122.8,"Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is…"
RB0032,BL0151,RP035,2024-10-13,109.4,This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Produced by the METAD farm and mill in southe…
RB0033,BL0112,RP106,2025-09-23,133.1,This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are p…
RB0034,BL0112,RP190,2024-08-25,142.4,This coffee tied for the third-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Yirgacheffe is a coffee region in southern Eth…
RB0035,BL0139,RP139,2025-10-04,142.4,"Decaffeinated at the Descamex plant in Mexico by the “Mountain Water Process” which does not involve use of solvents. Espresso Republic, founded in 2010, specializes in sourcing quality coffees and r…"
RB0036,BL0124,RP199,2024-08-06,157.8,This coffee tied for the fourth-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Yirgacheffe is a coffee region in southern Ethiopia that produces dist…
RB0037,BL0061,RP112,2024-06-20,77.9,"This coffee tied for the fourth-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. A blend of coffees from Ethiopia, Kenya and Colombia. Established in 2…"
RB0038,BL0129,RP086,2024-04-02,139.7,This coffee tied for the fourth-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Produced entirely from trees of the Bourbon variety of Arabica by smal…
RB0039,BL0091,RP059,2024-02-05,192.9,This coffee tied for the fourth-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. A blend of two Ethiopia coffees (a wet-processed Banko Gotiti and a na…
RB0040,BL0060,RP020,2024-05-27,200.8,"This coffee tied for the second-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Produced by Thaitu Coffee Estate from trees of the SL28, SL34 and Ruir…"
RB0041,BL0087,RP181,2025-04-27,150.0,"This coffee tied for the third-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. A blend of Kenya coffees from two different cooperatives, Kamwangi and…"
RB0042,BL0092,RP050,2024-12-23,192.6,"This coffee tied for the fourth-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Comprised entirely of the much admired, bold-bean Pacamara variety of…"
RB0043,BL0089,RP060,2025-04-01,211.6,This coffee tied for the fourth-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Produced by Ricardo and Gonzalo Hernandez entirely of beans from the r…
RB0044,BL0076,RP142,2024-09-19,156.4,This coffee tied for the third-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Southern Ethiopia coffees like this one are produced from distinctive t…
RB0045,BL0150,RP158,2024-02-13,120.4,"This exceptional coffee was selected as the No. 8 coffee on Coffee Review’s list of the Top 30 Coffees of 2017, and it earned the highest rating in a tasting of holiday coffees for Coffee Review‘s De…"
RB0046,BL0044,RP106,2025-05-25,164.5,"This exceptional coffee was selected as the No. 16 coffee on Coffee Review’s list of the Top 30 Coffees of 2017, and it tied for the second-highest rating in a tasting of holiday coffees for Coffee R…"
RB0047,BL0039,RP173,2025-10-06,42.5,This coffee tied for the third-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2017 tasting report. Produced entirely from trees of the respected Catuai variety of Arabica…
RB0048,BL0140,RP128,2025-07-02,126.0,"Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. JBC Coffee Roasters’ vision is simple: “le…"
RB0049,BL0029,RP194,2024-09-24,216.0,This exceptional coffee was selected as the No. 7 coffee on Coffee Review’s list of the Top 30 Coffees of 2017. Produced by Heakyung Kang Burneskis of Finca Don Julian in full rustic shade and proces…
RB0050,BL0188,RP186,2024-01-07,62.2,"This exceptional coffee was selected as the No. 10 coffee on Coffee Review’s list of the Top 30 Coffees of 2017. Bourbon Pointu, botanical name var. Laurina, is a rare variety of Arabica that is a na…"
RB0051,BL0021,RP164,2025-01-06,77.1,Produced on the single-family Muchoki Estate from trees of the admired Bourbon-derived SL-28 variety of Arabica together with the Ruiru 11 variety. AB is the second-highest grade of Kenya coffee base…
RB0052,BL0021,RP193,2024-05-29,52.4,"Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batche…"
RB0053,BL0120,RP079,2024-06-22,119.8,"This exceptional coffee was selected as the No. 22 coffee on Coffee Review’s list of the Top 30 Coffees of 2017. With its generally elongated beans and distinctive floral and crisp, often chocolaty c…"
RB0054,BL0005,RP183,2025-03-14,198.6,Ka’u is an emerging Hawaii coffee-growing district centered approximately 30 miles southeast of the famous Kona region. This Ka’u is produced by the Palehua Ohana Cooperative of small-holding Ka’u fa…
RB0055,BL0071,RP054,2024-03-23,193.8,"Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, mea…"
RB0056,BL0183,RP199,2024-04-10,24.0,"Produced by growers associated with the Karinga wet mill or washing station. Despite grower discontent, contested government coffee policy and urban encroachment on prime coffee lands, the famed Keny…"
RB0057,BL0077,RP115,2024-07-20,152.6,Doi Pangkhon is an emerging growing district in the Golden Triangle region of northern Thailand. This Arabica coffee from classic cultivars was processed by a particularly meticulous version of the w…
RB0058,BL0114,RP104,2024-01-04,138.2,Coffees from the northern part of the Indonesian island of Sumatra are admired for their complex earth and fruit notes that appear to result largely from unorthodox fruit removal and drying practices…
RB0059,BL0125,RP153,2025-12-16,137.3,"Produced by the Resguardo Indigena Nasa We’sx indigenous community in Gaitania, Colombia, associated with the Paez and Nasa tribes of southern Cauca. From trees of the Castillo, Caturra, Colombia and…"
RB0060,BL0094,RP161,2024-06-25,105.4,Coffee from trees of the botanical variety Gesha (also Geisha) grown on Price Peterson’s Hacienda La Esmeralda in Panama first introduced this extraordinary variety of Arabica to the world. With its…
RB0061,BL0016,RP039,2025-12-12,204.5,"Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by farmer Roberto Brenes of Auromar Estate. With its generally elongated beans and distinctive floral and crisp,…"
RB0062,BL0058,RP065,2025-06-01,197.7,"Haraz (also Haraaz, other spellings) is a celebrated coffee growing region in north-central Yemen, west of the capital of Sana’a. Although Ethiopia is the botanical home of Coffea Arabica, Yemen intr…"
RB0063,BL0014,RP031,2025-11-06,245.7,"Certified organic. Produced entirely from trees of the Kona Typica variety of Arabica. This is a “natural” or dry-processed coffee, meaning the beans were dried inside the fruit, encouraging a flavor…"
RB0064,BL0135,RP003,2025-09-04,119.7,"Produced by the Ortega family entirely from trees of the heirloom Bourbon variety of Arabica. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans i…"
RB0065,BL0155,RP137,2024-09-12,82.6,"Produced by Markus Fisher at Finca La Bastilla entirely from trees of the respected Red Catuai variety of Arabica. Processed by the wet or “washed” method, in which skin and fruit flesh are removed f…"
RB0066,BL0110,RP080,2024-03-01,222.7,"Produced by smallholding farmers from trees of the Ruiru 11, Batian, SL28 and SL34 varieties of Arabica. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to pro…"
RB0067,BL0139,RP162,2025-04-16,34.9,"Honduras, until recently a largely overlooked Central American coffee origin, has been producing increasing volumes of fine coffee over the past decade. Produced entirely from trees of the Catuai var…"
RB0068,BL0122,RP111,2024-07-24,229.4,"Produced by smallholding farmers from trees of the Ruiru 11, Batian, SL28 and SL34 varieties of Arabica. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to pro…"
RB0069,BL0172,RP132,2025-12-03,121.4,"Honduras, until recently a largely overlooked Central American coffee origin, has been producing increasing volumes of fine coffee over the past decade. Produced entirely from trees of the Paraneima…"
RB0070,BL0066,RP145,2024-02-16,95.9,"Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. AA is the highest grade of Kenya coffee ba…"
RB0071,BL0102,RP107,2024-05-18,66.3,"Coffees from the Yirgacheffe region are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is pro…"
RB0072,BL0076,RP028,2025-02-28,157.2,Produced from trees of the heirloom Bourbon variety of Arabica. Epiphanie Mukashyaka established the now famous Bufcafe washing station or wet mill following the Rwandan genocide and the loss of most…
RB0073,BL0139,RP041,2025-10-19,208.3,Produced from trees of local strains of the heirloom Bourbon variety of Arabica. Epiphanie Mukashyaka established the now famous Bufcafe washing station or wet mill following the Rwandan genocide and…
RB0074,BL0031,RP006,2024-09-29,56.8,"Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. This is a wet-processed or “washed” coffee, meaning the fruit skin and p…"
RB0075,BL0149,RP132,2025-03-12,59.4,"The cup profile of this coffee owes its originality to a complex, overlapping set of influences. First, tree variety: It was produced from heirloom varieties grown only in southern Ethiopia. Second,…"
RB0076,BL0164,RP176,2024-05-21,38.9,"The cup profile of this coffee owes its originality to a complex, overlapping set of influences. First, tree variety: It was produced from heirloom varieties grown only in southern Ethiopia. Second,…"
RB0077,BL0200,RP065,2024-12-30,93.6,Ka’u is an emerging Hawaii coffee-growing district centered approximately 30 miles southeast of the famous Kona region. This Ka’u is produced by the Palehua Ohana Cooperative of small-holding Ka’u fa…
RB0078,BL0036,RP172,2025-07-01,211.0,"Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is…"
RB0079,BL0031,RP085,2024-10-22,84.9,"Produced by David Gomez of of El Balso Farm entirely from trees of the Caturra variety of Arabica. Like almost all Colombia coffees, this coffee is wet-processed or “washed,” meaning the fruit skin a…"
RB0080,BL0010,RP109,2024-11-13,160.8,"Regrettably, this fine coffee sold out before the publication of our review. Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by farmer Roberto Brenes of Auromar…"
RB0081,BL0194,RP166,2025-03-26,122.3,Coffees from the northern part of the Indonesian island of Sumatra are valued for their complex aromatic wood and fruit notes that appear to result largely from unorthodox fruit removal and drying pr…
RB0082,BL0185,RP003,2025-12-05,224.1,"Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by the Hartmann family. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup…"
RB0083,BL0189,RP007,2024-08-11,75.3,Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. Processed by the wet or washed method (fruit skin…
RB0084,BL0166,RP081,2025-11-05,185.4,"Produced by the father-son team of Alberto and Diego Guardia from trees of the Venecia variety, a mutant selection of the sturdy, compact-growing Caturra that withstands heavy rains, among other agro…"
RB0085,BL0163,RP177,2024-04-28,184.2,This exceptional coffee was selected as the No. 18 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. Southern Ethiopia coffees like this one are produced from traditional Ethiopian variet…
RB0086,BL0030,RP003,2025-07-29,168.3,"Magnolia Coffee is a Charlotte, North Carolina-based specialty roaster whose motto is “Craft Roasted. Truly Delicious. Socially Conscious.” Magnolia Coffee focuses on direct-trade coffees that make a…"
RB0087,BL0155,RP156,2024-08-03,88.9,"Founded in August 2016, Charlotte Coffee Company donates 10 percent of proceeds from all retail sales to local non-profits dedicated to ending homelessness and hunger. Visit www.charlottecoffeeco.com…"
RB0088,BL0108,RP026,2024-11-26,52.8,"Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, mea…"
RB0089,BL0109,RP138,2024-09-21,176.7,"Produced by approximately 980 members of the Baragwi Farmers Cooperative Society from the SL28, SL34, Ruiru 11 and Batian varieties of Arabica. Despite grower discontent, contested government coffee…"
RB0090,BL0049,RP153,2025-07-23,133.2,"Produced by Omar Arango in the Tolima Department of Colombia from trees of the respected Caturra and Catuai varieties of Arabica. This is a wet-processed or “washed” coffee, meaning the fruit skin an…"
RB0091,BL0134,RP084,2024-06-22,55.6,Produced by about 150 small-holding farmers of the remote Biftu Gundina Cooperative. Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown…
RB0092,BL0176,RP100,2024-11-01,236.0,"Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is…"
RB0093,BL0017,RP068,2025-08-30,81.3,"Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is…"
RB0094,BL0141,RP183,2025-01-17,115.8,This exceptional coffee was selected as the No. 30 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. Produced by Gilmer Córdova at Agua Colorado farm from trees of the Red and Yellow Catu…
RB0095,BL0096,RP180,2025-09-21,157.0,"A blend of coffees from El Salvador and Indonesia. This coffee tied for the third-highest rating in a cupping of blends for Coffee Review‘s February 2018 tasting report. Based in the San Diego area,…"
RB0096,BL0018,RP045,2025-05-08,135.4,A blend of two coffees: a Colombia Cauca and Kenya Karamundi. This coffee tied for the third-highest rating in a cupping of blends for Coffee Review‘s February 2018 tasting report. Revel Coffee is a…
RB0097,BL0156,RP187,2024-03-15,204.3,Certified USDA organic. A blend of two coffees from Costa Rica and Ethiopia. This coffee tied for the third-highest rating in a cupping of blends for Coffee Review‘s February 2018 tasting report. Roa…
RB0098,BL0143,RP024,2024-03-27,162.8,"A blend of three coffees: a Central America, a South America and an Indonesia. This coffee earned the top rating in a cupping of blends for Coffee Review‘s February 2018 tasting report. Water Avenue…"
RB0099,BL0105,RP060,2024-11-30,229.0,A blend of four coffees: a wet-processed Guatemala; a wet-processed El Salvador; and both a wet-processed- and natural-processed Ethiopia. This coffee tied for the second-highest rating in a cupping…
RB0100,BL0147,RP194,2025-02-19,218.6,A blend of coffees from Kenya and Ethiopia. This coffee tied for the second-highest rating in a cupping of blends for Coffee Review‘s February 2018 tasting report. Founded by Paul Massard and Chris N…
RB0101,BL0020,RP182,2025-07-05,221.1,"A blend comprised of four coffees: two Ethiopias, one washed- and one natural-processed; a Kenya; and a honey-processed El Salvador. This coffee tied for the second-highest rating in a cupping of ble…"
RB0102,BL0122,RP185,2025-08-07,119.6,A blend of four coffees: Panama Finca Deborah Caturra Natural; Panama Finca Hartmann Natural Geisha; Panama Finca Lerida Natural Geisha; and Ethiopia Sidamo Mulish Natural. This coffee tied for the s…
RB0103,BL0190,RP077,2024-04-18,226.3,"Produced by Juan Luis Barrios Ortega mainly from trees of the heirloom Bourbon and Typica varieties. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather tha…"
RB0104,BL0065,RP157,2024-11-25,108.9,"Organic and fair trade certified. Produced by members of the the ASCI’SP cooperative from mixed varieties of Arabica, and processed by the conventional wet or “washed” method, in which skin and fruit…"
RB0105,BL0096,RP197,2025-08-15,223.9,Produced from locally naturalized cultivars of the heirloom Bourbon variety of Arabica and processed at the now famous Bufcafe mills. Epiphanie Mukashyaka established the first Bufcafe washing statio…
RB0106,BL0068,RP151,2025-05-27,170.4,This exceptional coffee was selected as the No. 13 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. This coffee is available exclusively as a part of the Barrington Coffee Curated Collec…
RB0107,BL0022,RP011,2025-06-24,33.0,"This coffee is available exclusively as a part of the Barrington Coffee Curated Collection, four ounces each of three distinguished coffees for $29.95. This selection is produced by Francisca and Osc…"
RB0108,BL0016,RP081,2025-11-04,220.3,"This coffee is available exclusively as a part of the Barrington Coffee Curated Collection, four ounces each of three distinguished coffees for $29.95. This rare Nepal coffee is produced by Mingma Do…"
RB0109,BL0014,RP131,2024-11-11,75.0,"Produced by Martin Urena of La Chumeca Farm entirely from trees of the respected Red Catuai variety of Arabica. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fr…"
RB0110,BL0156,RP047,2024-11-09,178.6,"This coffee was sourced by the importer Royal Coffee, decaffeinated at the Descamex plant in Mexico by a water-only process that does not involve use of solvents, and sold to roasters under the name…"
RB0111,BL0115,RP048,2025-05-27,158.7,"This blend is comprised of four coffees: a washed-processed Guatemala, a honey-processed Honduras, a washed-processed Honduras, and a washed-processed Ethiopia. Kakalove Café is a nano-roaster locate…"
RB0112,BL0143,RP004,2025-06-21,58.0,This coffee tied for the third-highest rating in a cupping of Value Coffees for Coffee Review‘s March 2018 tasting report. Southern Ethiopia coffees like this one are produced from distinctive tradit…
RB0113,BL0036,RP095,2024-01-13,185.5,This coffee tied for the third-highest rating in a cupping of Value Coffees for Coffee Review‘s March 2018 tasting report. Coffees like this one from the northern part of the Indonesian island of Sum…
RB0114,BL0071,RP052,2024-11-24,231.8,This coffee tied for the top rating in a cupping of Value Coffees for Coffee Review‘s March 2018 tasting report. Produced from trees of the admired SL-28 and SL-34 varieties of Arabica. Despite growe…
RB0115,BL0099,RP198,2024-09-02,168.9,This coffee tied for the second-highest rating in a cupping of Value Coffees for Coffee Review‘s March 2018 tasting report. Southern Ethiopia coffees like this one are produced from distinctive tradi…
RB0116,BL0124,RP030,2024-06-13,210.1,This coffee tied for the second-highest rating in a cupping of Value Coffees for Coffee Review‘s March 2018 tasting report. Southern Ethiopia coffees like this one are produced from distinctive tradi…
RB0117,BL0100,RP074,2025-08-14,166.7,This coffee tied for the third-highest rating in a cupping of Value Coffees for Coffee Review‘s March 2018 tasting report. Produced entirely from trees of the Bourbon variety of Arabica. This is a we…
RB0118,BL0107,RP200,2024-10-17,232.8,"This all-Africa blend tied for the top rating in a cupping of Value Coffees for Coffee Review‘s March 2018 tasting report. A blend of coffees from Ethiopia, Burundi and Kenya. Allegro Coffee, a subsi…"
RB0119,BL0109,RP188,2025-09-03,176.3,This exceptional coffee was selected as the No. 9 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. This coffee tied for the top rating in a cupping of Value Coffees for Coffee Review‘s M…
RB0120,BL0190,RP049,2024-08-04,227.7,This coffee tied for the third-highest rating in a cupping of Value Coffees for Coffee Review‘s March 2018 tasting report. Produced from locally naturalized cultivars of the heirloom Bourbon variety…
RB0121,BL0072,RP068,2024-03-05,29.6,This exceptional coffee was selected as the No. 3 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. Produced entirely of the heirloom Bourbon variety of Arabica and processed at the Gomba…
RB0122,BL0079,RP191,2024-09-10,53.4,"Mocca (also spelled Moka and Mokka) is a famous variety of Arabica that reached Kaanapali, Hawaii from Brazil. Current thinking in the technical coffee community is that it originated in the Reunion…"
RB0123,BL0109,RP154,2025-09-01,234.3,"Produced entirely from trees of the Kurume and Welicho varieties of Arabica at Suke Quto farm. Processed by the honey method, which means that the outer skin of the coffee fruit is removed, as it is…"
RB0124,BL0036,RP170,2024-07-16,165.0,This coffee tied for the third-highest rating in a cupping of coffees roasted by women for Coffee Review‘s April 2018 tasting report. Yirgacheffe is a coffee region in southern Ethiopia that produces…
RB0125,BL0139,RP125,2025-09-17,35.5,This exceptional coffee was selected as the No. 28 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. This coffee tied for the third-highest rating in a cupping of coffees roasted by women…
RB0126,BL0069,RP053,2025-11-26,89.3,This coffee tied for the third-highest rating in a cupping of coffees roasted by women for Coffee Review‘s April 2018 tasting report. Produced from trees of the SL28 and SL43 varieties of Arabica and…
RB0127,BL0043,RP152,2025-08-07,194.5,This coffee tied for the third-highest rating in a cupping of coffees roasted by women for Coffee Review‘s April 2018 tasting report. Produced by the METAD farm and mill in southern Ethiopia. Souther…
RB0128,BL0138,RP096,2025-06-11,246.7,"This coffee tied for the second-highest rating in a cupping of coffees roasted by women for Coffee Review‘s April 2018 tasting report. Although Ethiopia is the botanical home of Coffea arabica, Yemen…"
RB0129,BL0112,RP059,2024-05-02,184.5,This exceptional coffee was selected as the No. 22 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. This coffee tied for the second-highest rating in a cupping of coffees roasted by wome…
RB0130,BL0054,RP048,2024-02-04,247.1,This coffee tied for the second-highest rating in a cupping of coffees roasted by women for Coffee Review‘s April 2018 tasting report. Coffees like this one from the northern part of the Indonesian i…
RB0131,BL0011,RP135,2024-12-02,82.4,This coffee tied for the second-highest rating in a cupping of coffees roasted by women for Coffee Review‘s April 2018 tasting report. Despite challenges ranging from unclear government coffee policy…
RB0132,BL0002,RP104,2024-09-14,86.2,This sample earned the highest rating in a cupping of coffees roasted by women for Coffee Review‘s April 2018 tasting report. Produced by Orlando Espina of Finca La Maria entirely from trees of the r…
RB0133,BL0071,RP108,2024-12-22,175.6,This coffee tied for the second-highest rating in a cupping of coffees roasted by women for Coffee Review‘s April 2018 tasting report. Southern Ethiopia coffees like this one are produced from distin…
RB0134,BL0159,RP192,2025-06-24,170.3,"This exceptional coffee was selected as the No. 5 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. Comprised entirely of beans from the rare Sudan Rume, a presumably very old variety of…"
RB0135,BL0175,RP120,2025-03-05,130.9,"Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. A wet-processed or “washed” coffee, meaning the fruit skin and pulp were…"
RB0136,BL0011,RP140,2025-08-10,224.4,"Certified organically grown and produced by members of the the ASCI’SP cooperative from mixed varieties of Arabica. Processed by the conventional wet or “washed” method, in which skin and fruit flesh…"
RB0137,BL0022,RP114,2025-01-18,176.4,"Produced by Lambertus Siba Hurek entirely of the Typica variety of Arabica and processed by the Indonesia wet-hulled method. Flores is an island in Indonesia, part of a chain of islands that extends…"
